epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,lr
1,0.936685435852762,0.10222024224319701,0.05593422003153522,0.9250558870179313,0.17536978991258712,0.10021556133315676,0.0001
2,0.9162412533315561,0.14043233297386412,0.07893494709189665,0.921613233430045,0.11350839123839424,0.06240754361663546,0.0001
3,0.9038508382894225,0.1625609548794011,0.0925471803204993,0.9076139728228251,0.153483346814201,0.08665625644581658,0.0001
4,0.8915023081383463,0.20466290982597965,0.12006447552624396,0.8953682269368853,0.23035363923935664,0.13620312263568243,0.0001
5,0.8777634617635759,0.23748585266076913,0.1417046266339593,0.8882754218010676,0.21675839878263928,0.126876776771886,0.0001
6,0.8605408749337924,0.26523323773832647,0.1616982433124114,0.8595645796684992,0.2688952216080257,0.16538154724098386,0.0001
7,0.8439012604244684,0.27757757397021277,0.17051384250743915,0.8417929183869135,0.29018073848315645,0.18085392990282603,0.0001
8,0.8224288947501425,0.30181675997831053,0.18908642623889244,0.83945061479296,0.2616579504240127,0.15775804399024873,0.0001
9,0.7930472493171692,0.3396013427083775,0.21932268047989426,0.8109755913416544,0.2906202191398257,0.17914113118534997,0.0001
10,0.7723276332273321,0.34197632299136305,0.22053314581260844,0.7686077611786979,0.3710585804212661,0.24718150248130163,0.0001
11,0.7429592649815446,0.370251225212873,0.24353836666224365,0.7526805940128508,0.3409990767637889,0.21932364574500493,0.0001
12,0.7133219449196831,0.3936107388492358,0.26397675932463954,0.705884419736408,0.4036326294853574,0.26833429577804746,0.0001
13,0.6904018081850924,0.40192850704415367,0.2712716490535413,0.6921109216553825,0.42076787494477774,0.2921894852604185,0.0001
14,0.6611019244133416,0.42251768518807525,0.28997896731657496,0.6605160520190284,0.40547167971020653,0.2736069772924696,0.0001
15,0.6426284843582218,0.42856264935206556,0.2960295483975087,0.6267030381021046,0.4568151178814116,0.3201731074424017,0.0001
16,0.6244512031138953,0.43784876420336255,0.3040894876092167,0.617623630024138,0.4362457252684094,0.30351742534410386,0.0001
17,0.598530136932761,0.4558368896023702,0.3215058969996743,0.6097737635884967,0.44282606953666326,0.30806013303143637,0.0001
18,0.5889134076187166,0.4567726539858317,0.32240481914605124,0.6202762524286906,0.431998447293327,0.30666800978637876,0.0001
19,0.5738667540125928,0.46640865353204436,0.33125894680871804,0.588716922771363,0.4480303682032086,0.312918436669168,0.0001
20,0.53570118066618,0.5029283816278991,0.36565365301350417,0.5522608345463162,0.49509789972078233,0.3581396568389166,5e-05
21,0.5254485144958658,0.5118192952063124,0.3728080223930084,0.5554757771037874,0.4816725580465226,0.34596637955733706,5e-05
22,0.5184337984202272,0.5160746069277747,0.3775185539813365,0.5431151304926191,0.4912555572532472,0.3530476611284983,5e-05
23,0.5028150940345506,0.5303501032166562,0.39084893704976065,0.5400499062878745,0.4914655089378357,0.3542866217238562,5e-05
24,0.5002094689062087,0.5298732584815914,0.3904277890668077,0.5419600577581496,0.4859899197305952,0.351313679700806,5e-05
25,0.4805109104362585,0.5492893404374688,0.4106267628780866,0.5218485991160074,0.504444040003277,0.3652337221872239,2.5e-05
26,0.46847149148835976,0.5606267560841673,0.42230916477866093,0.5310203773634774,0.49453902386483695,0.3563058454365957,2.5e-05
27,0.46822014400514506,0.5595219514127505,0.4213424986701901,0.5200505611442384,0.5061625228041694,0.3686713760807401,2.5e-05
28,0.4618686121904244,0.5651984924482087,0.42596181052721155,0.5174453670070285,0.5071355856600261,0.3693015234810965,2.5e-05
29,0.4590563680660927,0.5666356826737776,0.4288644496414621,0.5260964617842719,0.4974391275928134,0.3632934292157491,2.5e-05
30,0.4547217346854129,0.5697163856130535,0.43015474485138716,0.5297829948720478,0.4942555470126016,0.3608401048751104,2.5e-05
31,0.4478530467061673,0.576533387778169,0.43704354611493773,0.5247251973265693,0.4972086931977953,0.3648985815899713,2.5e-05
32,0.4479847656468214,0.5747269187438286,0.4355653669621985,0.5198818090416136,0.5013639288289207,0.3653904227983384,2.5e-05
33,0.43371259231688614,0.589642121882762,0.4493849176471516,0.5215756126812526,0.4977819877011435,0.36410265948091236,1.25e-05
34,0.43582296396716164,0.5861294592841196,0.44670120260473023,0.5199572287854695,0.5008672220366341,0.36626455897376653,1.25e-05
35,0.43269130713858844,0.5891563455432148,0.4513046645512015,0.5157430469989777,0.5045745557262784,0.3691389787764776,1.25e-05
36,0.43400392315145264,0.5871232917248193,0.4478535876940873,0.5179517524582999,0.5015166118031457,0.36712717158453806,1.25e-05
37,0.42064731681750994,0.6012521446761439,0.46272113792977093,0.51643277491842,0.5027784719353631,0.3689342467557816,6.25e-06
38,0.4232671320185823,0.5979898761389619,0.45948837722762154,0.5145739302748725,0.5037082064719427,0.36904592457271757,6.25e-06
39,0.41746108991614844,0.6038350111852258,0.4643941535535505,0.516680352744602,0.5015734945024762,0.367913014122418,6.25e-06
40,0.41649554543576,0.6044881803504492,0.46533596035787617,0.5149665262017932,0.5027584433555603,0.3683301302648726,6.25e-06
41,0.41583053868705944,0.6047925656124696,0.4656547025098639,0.5118324983687628,0.506539333434332,0.37184632959819974,3.125e-06
42,0.411019667477931,0.6098722772578061,0.4703964492527105,0.5097569525241852,0.5082419443698156,0.37334254738830386,3.125e-06
43,0.41432717871868,0.606444407317598,0.4692244984335818,0.5171505837213426,0.5009969018754505,0.3685344535680044,3.125e-06
44,0.409677001379304,0.6111555561675863,0.4718244116185075,0.5093540918259394,0.5084196740672702,0.3731970191001892,3.125e-06
45,0.4129023913104655,0.6076046384997287,0.468884951987509,0.5082736625557854,0.5093446657771156,0.3738420151528858,3.125e-06
